Date,Transaction Details,Withdrawal (INR),Deposit (INR),Balance (INR)
01-04-2025,UPI Payment to Supplier,5000.00,,95000.00
02-04-2025,Cash Deposit,,10000.00,105000.00
03-04-2025,POS Purchase - Raw Materials,12000.00,,93000.00
05-04-2025,NEFT from Customer,,25000.00,118000.00
06-04-2025,Electricity Bill Payment,3000.00,,115000.00
07-04-2025,Rent Payment,15000.00,,100000.00
08-04-2025,UPI Received from Customer,,7000.00,107000.00
09-04-2025,Office Supplies Purchase,2500.00,,104500.00
10-04-2025,Cash Withdrawal ATM,5000.00,,99500.00
11-04-2025,Online Sale Credit,,18000.00,117500.00
